person_id,scenario_id,response_raw,response_norm
P01,S01,6,0.6
P01,S02,0,0.0
P01,S03,4,0.4
P01,S04,0,0.0
P01,S05,0,0.0
P01,S06,10,1.0
P01,S07,10,1.0
P01,S08,9,0.9
P01,S09,5,0.5
P01,S10,6,0.6
P02,S01,10,1.0
P02,S02,9,0.9
P02,S03,9,0.9
P02,S04,5,0.5
P02,S05,3,0.3
P02,S06,9,0.9
P02,S07,10,1.0
P02,S08,8,0.8
P02,S09,9,0.9
P02,S10,9,0.9
P03,S01,0,0.0
P03,S02,0,0.0
P03,S03,0,0.0
P03,S04,10,1.0
P03,S05,0,0.0
P03,S06,10,1.0
P03,S07,5,0.5
P03,S08,5,0.5
P03,S09,5,0.5
P03,S10,0,0.0
P04,S01,8,0.8
P04,S02,0,0.0
P04,S03,10,1.0
P04,S04,10,1.0
P04,S05,5,0.5
P04,S06,6,0.6
P04,S07,10,1.0
P04,S08,9,0.9
P04,S09,7,0.7
P04,S10,4,0.4
P05,S01,10,1.0
P05,S02,5,0.5
P05,S03,5,0.5
P05,S04,5,0.5
P05,S05,5,0.5
P05,S06,5,0.5
P05,S07,10,1.0
P05,S08,5,0.5
P05,S09,5,0.5
P05,S10,5,0.5
P06,S01,0,0.0
P06,S02,1,0.1
P06,S03,1,0.1
P06,S04,1,0.1
P06,S05,0,0.0
P06,S06,5,0.5
P06,S07,10,1.0
P06,S08,3,0.3
P06,S09,9,0.9
P06,S10,9,0.9
